"satz_id";"variante_H2O";"wiederholung";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
2;"Wred";"b";93.41;97.48;100.83;92.05;98.66;101.47;17;25.51;25;18.5;34.4;67.13;41.6;89.5;5337.62;1.31;14.53;14.53;403.79;393.18;100131.82;9;253.97;253.97;20;30;50;1.2;2.22061337238934;16.7753748933118;2.6;9.2
2;"Wred";"b";94.95;96.95;100.1;93.41;97.48;100.83;18;22.46;22.46;18.7;25.9;81.23;61.9;94.5;2541.15;0.75;14.47;14.47;426.25;415.65;102672.98;12.5;268.44;268.44;20;30;50;1.2;2.44942893702354;17.1807730301226;3.5;2.6
2;"Wred";"b";95.04;96.85;99.58;94.95;96.95;100.1;19;22.24;22.24;18.8;29.3;78.51;51.3;93.8;3814.6;0.81;14.42;14.42;448.49;437.88;106487.57;12.8;282.86;282.86;20;30;50;1.2;2.66795927128929;17.5776734438886;0.3;3.5
2;"Wred";"b";90.36;96.44;99.5;95.04;96.85;99.58;20;22.9;22.9;17;28.7;73.56;50.1;95.4;4739.68;0.84;14.36;14.36;471.39;460.78;111227.25;12.8;297.22;297.22;20;30;50;1.2;2.87164598243325;17.9652720440487;0;0.3
2;"Wred";"b";82.43;95.6;99.19;90.36;96.44;99.5;21;24.6;24.6;17.1;32.1;66.21;38.9;94;5566.32;1.3;14.3;14.3;495.99;485.39;116793.57;12.8;311.52;311.52;20;30;50;1.2;3.0573921111918;18.3431156940143;0;0
2;"Wred";"b";73.98;94.28;98.58;82.43;95.6;99.19;22;22.38;22.38;18.4;28.6;66.27;42.9;81.5;3760.6;1.12;14.25;14.25;518.37;507.76;120554.18;12.8;325.77;325.77;20;30;50;1.2;3.22357410760258;18.7110744674746;0;0
2;"Wred";"b";66.38;92.95;98.22;73.98;94.28;98.58;23;21.41;21.41;15.4;28;64.77;39.7;88.6;5614.38;1.12;14.19;14.19;539.77;529.17;126168.55;12.8;339.96;339.96;20;30;50;1.2;3.36956486127374;19.0685623068768;0;0
2;"Wred";"b";60.8;91.23;97.68;66.38;92.95;98.22;24;21.86;21.86;13.3;28.6;64.55;39.2;94;5535.32;0.81;14.14;14.14;561.64;551.03;131703.88;13.2;354.1;354.1;20;30;50;1.2;3.49596514212954;19.4155675568415;0.4;0
2;"Wred";"b";56.64;89.56;97.44;60.8;91.23;97.68;25;24.94;24.94;18.4;32.8;68;40.5;94.7;5629.4;0.85;14.08;14.08;586.57;575.97;137333.28;18;368.18;368.18;20;30;50;1.2;3.60390955013988;19.7516435036782;4.8;0.4
2;"Wred";"b";54.25;87.65;97.01;56.64;89.56;97.44;26;26.29;25;18.5;31.9;62.37;44.4;92.4;4161.3;1.07;14.02;14.02;612.87;600.97;141494.58;18;382.2;382.2;20;30;50;1.2;3.69509178837852;20.0766583697918;0;4.8
2;"Wred";"b";52.86;85.18;96;54.25;87.65;97.01;27;22.9;22.9;16.5;27.6;64.04;37.7;92.7;4967.32;1.54;13.96;13.96;635.77;623.87;146461.9;19.6;396.16;396.16;20;30;50;1.2;3.77142143290444;20.3905367434525;1.6;0
2;"Wred";"b";52.3;82.49;95.17;52.86;85.18;96;28;20.26;20.26;16.2;24.7;59.17;38.2;79.8;5058.23;1.61;13.91;13.91;656.03;644.13;151520.12;19.6;410.07;410.07;20;30;50;1.2;3.83488901836916;20.6934700334174;0;1.6
2;"Wred";"b";52.23;79.56;94.28;52.3;82.49;95.17;29;18.63;18.63;13.5;23.7;61.74;42.7;86.6;4274.88;1.17;13.85;13.85;674.65;662.76;155795;19.6;423.92;423.92;20;30;50;1.2;3.88730701720761;20.9852555358253;0;0
2;"Wred";"b";53.37;76.6;93.04;52.23;79.56;94.28;30;19.1;19.1;11.9;24.9;61.73;44.9;87;2958.6;0.82;13.79;13.79;693.75;681.86;158753.6;19.6;437.71;437.71;20;30;50;1.2;3.93039419810987;21.2659634453415;0;0
