T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
86.52;80.9225;95.5;19.11;13.4;25.2;77.19;54;95.9;4403.48;1.14;0.1;1.4;95.6425;84.26;96.4925;45;19.11;4.00439561658726;22.2696165139313
100.195;99.5325;97.7475;18.92;13.9;24.5;65.77;44.1;88.5;5844.8;1.19;0;0;98.7;99.335;97.925;6;18.92;0.227762342883267;11.117448325434
97.7925;99.405;97.4475;16.94;12;23.8;78.47;47.6;94.1;4888.35;0.78;3.5;4.8675;100.195;99.5325;97.7475;7;16.94;0.277236966362842;11.4742777642459
101.795;99.4675;97.4475;16.13;13.4;22.4;86.49;57;95.3;3164.72;0.8;6;3.5;97.7925;99.405;97.4475;8;16.13;0.342356246226416;11.8860861988318
106.81;99.75;97.2875;17.12;12.8;21.9;80.68;58.6;96.5;3655.7;0.54;0.3;6;101.795;99.4675;97.4475;9;17.12;0.42327348774038;12.3152191456689
105.4075;101.8075;97.325;19.06;13.4;25;75.26;52.3;95.6;5027.05;0.69;0;0.3;106.81;99.75;97.2875;10;19.06;0.523783951315896;12.7795970542826
102.045;102.1;97.625;18.21;13.6;23.1;79.35;55;95.9;4538.88;1.27;4.5;0;105.4075;101.8075;97.325;11;18.21;0.644438437938141;13.2607580453608
102.7725;101.785;97.455;17.25;12.8;23;83.08;58.8;94;2962.98;0.67;1.3;4.5;102.045;102.1;97.625;12;17.25;0.784608495029618;13.7360886878111
99.8625;101.1025;97.2225;16.35;11.2;19.9;79.47;57.9;94.6;3804.38;1.08;1.8;1.3;102.7725;101.785;97.455;13;16.35;0.942057951414447;14.1787781890991
98.1375;100.05;96.8725;16.68;10.3;23.6;74.42;48.2;95.1;4416.58;0.83;0.4;1.8;99.8625;101.1025;97.2225;14;16.68;1.06399846285445;14.4952118741398
95.9875;99.3225;96.9325;18.44;11.4;25.2;74.1;51.7;92.4;4762.65;0.87;0;0.4;98.1375;100.05;96.8725;15;18.44;1.25770610592404;14.9202887681659
92.4775;98.1825;96.49;20.43;12.9;28.2;72.53;45.8;95.9;5779.25;0.58;0;0;95.9875;99.3225;96.9325;16;20.43;1.50506164665508;15.4283239121647
86.7875;96.8875;96.67;21.6;13.2;29.4;71.7;46.7;96;5483;0.54;0;0;92.4775;98.1825;96.49;17;21.6;1.78890561619946;15.995494778036
79.6975;94.87;96.605;23.11;16.5;30.8;71.74;45.8;93.2;5208.55;0.92;0;0;86.7875;96.8875;96.67;18;23.11;2.09330521403295;16.5997901372226
71.8325;92.6375;96.205;22.76;14.5;31.2;67.23;41.4;95.6;6538.45;0.79;0;0;79.6975;94.87;96.605;19;22.76;2.40562815887905;17.2251285947352
64.365;90.1925;95.83;22.2;13.5;30.8;63.8;37.6;93;6183.12;0.68;0;9.1425;71.8325;92.6375;96.205;20;22.2;2.71309884051418;17.8527956987728
62.095;87.8475;95.5375;17.97;12;22.9;71.77;54.5;87.7;3201.52;1.9;2.1;0;64.365;90.1925;95.83;21;17.97;3.00241823543624;18.4600529571825
59.125;85.64;94.525;14.76;10.5;20.2;76.26;48.6;93.5;3415.02;1.15;3.1;2.1;62.095;87.8475;95.5375;22;14.76;3.26273527360494;19.0266733954337
57.455;83.5575;94.1025;17.89;14.1;21.6;76.52;58.8;93.2;2957.48;1.18;0;7.6675;59.125;85.64;94.525;23;17.89;3.48569952959232;19.5345389702005
57.93;81.64;93.5075;19.1;16.3;23.3;77.63;62.9;91.2;3355.75;1.1;0.1;0;57.455;83.5575;94.1025;24;19.1;3.66558474204281;19.9659861671487
56.635;79.5425;92.8525;19.19;12.9;26.1;73.51;48.3;95.5;4794.7;0.83;0;0.1;57.93;81.64;93.5075;25;19.19;3.79810814863677;20.3098679070306
54.9;77.3525;92.05;20.73;13.4;28.7;71.26;43.9;94.3;5763.15;0.61;1.8;0;56.635;79.5425;92.8525;26;20.73;3.88086343467133;20.5568107069937
53.605;74.535;91.825;18.75;13.8;24.1;82.64;47.2;95.2;3656.98;0.95;10.6;1.8;54.9;77.3525;92.05;27;18.75;3.91321209817242;20.6919214002958
52.96;72.2;90.9325;17.95;13.1;23.6;80.73;58.8;96.6;3631.93;0.88;0.5;10.6;53.605;74.535;91.825;28;17.95;3.89519899758705;20.7129594029659
52.94;70.18;90.405;16.67;9.9;21.3;69.57;54;91.2;5031.18;1.26;0;0.5;52.96;72.2;90.9325;29;16.67;3.93494733452791;20.8635436369097
52.6;67.44;89.605;17.52;10.3;24.7;68.46;39.6;94.1;6499.32;0.87;0;4.915;52.94;70.18;90.405;30;17.52;3.96914939232253;21.0188411402072
52.76;65.1675;88.77;17.17;13.7;20.8;70.2;57.2;91.5;4545.52;1.72;0.2;0;52.6;67.44;89.605;31;17.17;3.99984506160555;21.195605299726
52.715;63.02;87.6175;15.05;10.8;19.6;79.7;60.4;90.7;2603.43;1.32;1.6;0.2;52.76;65.1675;88.77;32;15.05;4.02968464050901;21.4114221953375
53.6;61.6375;86.6225;15.74;12.2;19.6;81.6;64.3;93.6;2528.43;0.68;0.7;1.6;52.715;63.02;87.6175;33;15.74;4.05992261441798;21.6538723325495
53.0466666666667;60.6575;85.6925;15.7;14.6;17;85.72;79.3;92;1258.33;1.46;0.7;0.7;53.6;61.6375;86.6225;34;15.7;4.08898981992124;21.9049874194804
53.345;60.06;84.7625;18;15.7;21.2;76.33;61.1;88.8;2290.28;1.62;0;0.7;53.0466666666667;60.6575;85.6925;35;18;4.11579211298289;22.1690724063713
52.65;58.4675;83.215;17.01;12.5;20.8;75.47;61.8;92.7;3240.48;1.42;0;0;53.345;60.06;84.7625;36;17.01;4.13940476259265;22.4112096721351
52.055;57.04;81.3825;16.97;11.5;22.6;72.37;50.5;92.4;4370.02;1.48;0;21.335;52.65;58.4675;83.215;37;16.97;4.15931435281034;22.6166839914498
52.18;56.355;79.8;17.05;10.5;24.5;72.24;46.7;92.2;5387.8;1.05;0;0;52.055;57.04;81.3825;38;17.05;4.17500746769578;22.7707801389937
52.57;56.0225;78.1625;18.08;10.2;26.5;69.7;38.4;95.5;5863.23;0.92;0;0;52.18;56.355;79.8;39;18.08;4.18597069130879;22.8587828894448
53.03;55.76;76.1975;18.44;9.6;27.3;68.75;37.1;95.6;5582.9;0.72;0;0;52.57;56.0225;78.1625;40;18.44;4.19169060770921;22.8659770174811
53.2;55.405;74.185;19.63;12.4;28.6;69.07;39.9;94.3;5152.45;0.67;0;0;53.03;55.76;76.1975;41;19.63;4.19165380095683;22.7776472977808
92.145;98.5175;99.495;13.56;5.8;19.5;58.82;40.9;84.4;6101.1;2.14;0;0;93.9125;99.2125;100.105;5;13.56;0.181060227226982;10.6407540535026
92.495;97.885;99.04;13.02;9.8;16;62.86;54;72.9;3737.72;2.15;0;7.2;92.145;98.5175;99.495;6;13.02;0.174680523173096;10.601474604489
93.5575;97.84;99.435;12.44;8.2;15.6;60.33;47.3;77.7;1930.2;0.98;0;0;92.495;97.885;99.04;7;12.44;0.168876945685732;10.5703247408532
92.17;97.1275;98.63;10.39;5.7;17.2;73.94;49.3;90.8;4597.82;1.18;0.2;0;93.5575;97.84;99.435;8;10.39;0.165888988228149;10.5621490158952
91.955;97.265;98.4775;8.65;5.8;10;85.22;79.8;91;1218;1.18;8;0.2;92.17;97.1275;98.63;9;0;0.169621749370868;10.6218935263384
