"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
63.11;88.49;98.78;66.65;90.71;99.48;50;484.58;119.22;67.49;2.69;2.08;1.83;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;3.9575;20.7878846153846;1.5
127.24;95.3;98.25;63.11;88.49;98.78;51;14;81.8;69.52;1.15;1.91;1.84;10.68;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;15.74;15.74;507.11;399.47;229938.65;69.4;740.55;505.08;20;30;50;1.2;4.01;21.22;24.73
114.19;116.85;95.66;127.24;95.3;98.25;25;28.81;24.86;80.19;1.46;1.4;1.9;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.16;10.51;5.3
109.73;113.58;97.18;114.19;116.85;95.66;26;36.85;29.79;73.72;1.57;1.47;1.87;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.30215384615385;11.0261153846154;0
106.72;110.61;98.22;109.73;113.58;97.18;27;43.53;35.11;69.61;1.64;1.55;1.84;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.44430769230769;11.5422307692308;0
104.18;108.84;98.87;106.72;110.61;98.22;28;50.09;38.71;67.16;1.7;1.59;1.83;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.58646153846154;12.0583461538462;0
102.05;107.21;99.21;104.18;108.84;98.87;29;56.34;42.36;65.91;1.75;1.63;1.82;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.72861538461538;12.5744615384615;0
102.81;105.54;99.3;102.05;107.21;99.21;30;54.01;46.45;65.57;1.73;1.67;1.82;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;1.87076923076923;13.0905769230769;5.78
103.02;104.87;99.27;102.81;105.54;99.3;31;53.41;48.2;65.71;1.73;1.68;1.82;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.01292307692308;13.6066923076923;1.6
105.85;104.45;99.22;103.02;104.87;99.27;32;45.66;49.35;65.89;1.66;1.69;1.82;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.15507692307692;14.1228076923077;3.7
102.87;104.66;99.14;105.85;104.45;99.22;33;53.83;48.76;66.18;1.73;1.69;1.82;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.29723076923077;14.6389230769231;0
99.16;104.18;99.19;102.87;104.66;99.14;34;66.11;50.07;65.98;1.82;1.7;1.82;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.43938461538462;15.1550384615385;0
93.46;102.28;99.26;99.16;104.18;99.19;35;90.57;55.62;65.74;1.96;1.75;1.82;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.58153846153846;15.6711538461538;0
96.2;100.4;99.26;93.46;102.28;99.26;36;77.84;61.72;65.72;1.89;1.79;1.82;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.72369230769231;16.1872692307692;7.2
104.58;100.08;99.04;96.2;100.4;99.26;37;48.99;62.81;66.55;1.69;1.8;1.82;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.86584615384615;16.7033846153846;4
98.04;99.88;98.8;104.58;100.08;99.04;38;70.3;63.53;67.42;1.85;1.8;1.83;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.98625;17.04375;0
89.56;97.73;98.51;98.04;99.88;98.8;39;112.34;71.54;68.5;2.05;1.85;1.84;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.09326923076923;17.2759615384615;0
82.18;95.08;98.26;89.56;97.73;98.51;40;168.91;82.82;69.47;2.23;1.92;1.84;11.9;11.9;9.2;14.9;75.43;56.3;90.8;3189.2;1.54;15.28;15.28;375.74;268.1;181526.42;42.9;569.62;334.15;20;30;50;1.2;3.20028846153846;17.5081730769231;0.3
114.95;93.76;97.88;82.18;95.08;98.26;41;27.62;89.1;70.94;1.44;1.95;1.85;11.68;11.68;6.9;18.6;80.23;47.3;95.7;4802.18;1.35;15.33;15.33;387.43;279.79;186328.6;49.5;584.95;349.48;20;30;50;1.2;3.30730769230769;17.7403846153846;15.68
122.44;103.18;97.49;114.95;93.76;97.88;42;18.26;52.93;72.48;1.26;1.72;1.86;11.93;11.93;8.8;16.4;80.68;62.9;95.5;3797.85;1.57;15.37;15.37;399.36;291.72;190126.45;54.2;600.32;364.85;20;30;50;1.2;3.41432692307692;17.9725961538462;6.6
117.8;116.01;97.53;122.44;103.18;97.49;43;23.59;26.04;72.31;1.37;1.42;1.86;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.49846153846154;18.1935897435897;4.7
110.05;112.34;98.31;117.8;116.01;97.53;44;36.21;31.91;69.27;1.56;1.5;1.84;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.57115384615385;18.4089743589744;0.8
103.46;106.95;99.05;110.05;112.34;98.31;45;52.11;42.98;66.48;1.72;1.63;1.82;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.64384615384615;18.624358974359;1.5
93.78;102.02;99.53;103.46;106.95;99.05;46;88.98;56.44;64.74;1.95;1.75;1.81;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.71653846153846;18.8397435897436;0
84.76;96.64;99.43;93.78;102.02;99.53;47;146.44;75.96;65.13;2.17;1.88;1.81;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.77384615384615;19.3057692307692;2.7
75.92;91.38;99.04;84.76;96.64;99.43;48;238.76;101.6;66.55;2.38;2.01;1.82;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.83038461538462;19.7843269230769;1.2
69.11;87.21;98.55;75.92;91.38;99.04;49;347.92;127.92;68.36;2.54;2.11;1.83;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;3.88692307692308;20.2628846153846;0
66.07;84.62;97.87;69.11;87.21;98.55;50;411.52;147.59;70.99;2.61;2.17;1.85;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;3.94346153846154;20.7414423076923;1.5
